NAME, SMILES
pyrrolizidine, N12CCCC1CCC2
pyrrolo[23-b]pyrrole, C1=CN=C2C1=CC=N2
pyrrolo[32-b]pyrrole, C1=C2C(=CC=N2)N=C1
6H-furo[23-b]pyrrole, C1=CNC2=C1C=CO2
6H-furo[32-b]pyrrole, C1C=NC2=C1OC=C2
6H-thieno[23-b]pyrrole, C1=CNC2=C1C=CS2
4H-thieno[32-b]pyrrole, C1C=NC2=C1SC=C2
23-dihydro-1H-indene, C1Cc2ccccc2C1  
indene, C1=CC2=CC=CC=C2C1  
indoline, C1CNc2ccccc21  
3H-indole, C1C=NC2=CC=CC=C21 
1H-indole, C1=CC=C2C(=C1)C=CN2  
2H-isoindole, c1cccc2c1c[nH]c2 
indolizine, c1ccc2ccccn12
1H-indazole, C1=CC=C2C(=C1)C=NN2 
benzimidazole, c1ccc2c(c1)[nH]cn2  
7-azaindole, C1=CC2=C(NC=C2)N=C1 
4-azaindole, C1=NC2=C(NC=C2)C=C1
5-azaindole, N1=CC2=C(NC=C2)C=C1
6-azaindole, N1=CC2=C(C=CN2)C=C1
7-azaindazole, C1=CC2=C(NN=C2)N=C1
pyrazolo[15-a] pyrimidine, C1=CN2C(=CC=N2)N=C1  
purine, c1c2c(nc[nH]2)ncn1
benzofuran, o2c1ccccc1cc2
isobenzofuran, o2cc1ccccc1c2
benzo[c]thiophene, s2cc1ccccc1c2
benzo[b]thiophene, s2c1ccccc1cc2
21-benzisoxazole, n2c1ccccc1co2
12-benzisoxazole, o2c1ccccc1cn2
21-benzisothiazole, n2c1ccccc1cs2
12-benzisothiazole, s2c1ccccc1cn2
benzoxazole, n1c2ccccc2oc1
benzthiazole, n1c2ccccc2sc1
benzo[d][125]thiadiazole, C1=CC2=NSN=C2C=C1
adenine, NC1=NC=NC2=C1N=CN2
guanine, OC1=C2N=CNC2=NC(=N1)N 
decarhydroisoquinoline, C1CCC2CNCCC2C1
decalhydroquinoline, C1CCC2C(C1)CCCN2
12-dihydroquinoline, C1C=CC2=CC=CC=C2N1
1234-tetrahydroquinoline, C1CC2=CC=CC=C2NC1
12-dihydroisoquinoline, C1C2=CC=CC=C2C=CN1
quinoline, n1cccc2ccccc12
isoquinoline, C1(C=NC=C2)=C2C=CC=C1
4H-quinolizine, C1C=CC=C2N1C=CC=C2
quinoxaline, c1cccc2nccnc12
phthalazine, C1=CC=C2C=NN=CC2=C1
quinazoline, c1ccc2c(c1)cncn2
cinnoline, n1nccc2ccccc12
18-naphthyridine, C1=CC2=C(N=C1)N=CC=C2
pyrido[32-d]pyrimidine, C1=CC2=NC=NC=C2N=C1
pyrido[43-d]pyrimidine, C1=CN=CC2=CN=CN=C21
pyrido[34-b]pyrazine, C1=CC2=NC=CN=C2C=N1
pyrido[23-b]pyrazine, C1=CC2=NC=CN=C2N=C1
pteridine, C1=CN=C2C(=N1)C=NC=N2
2H-chromene, C1C=CC2=CC=CC=C2O1
1H-isochromene, C1C2=CC=CC=C2C=CO1
3H-isochromene, C1C=C2C=CC=CC2=CO1
2H-chromen-2-one, O=C1C=Cc2ccccc2O1
2H-benzo[e][13]oxazine, C1C2=CC=CC=C2OCN=1
2H-benzo[e][12]oxazine, C1C2=CC=CC=C2ONC=1
2H-benzo[b][14]oxazine, N1C2=CC=CC=C2OCC=1
2-Quinolone, C1=CC=C2C(=C1)C=CC(=O)N2
