collision_energy_NCE,Compound_index,precursor_formula,formulas
25.7474484278608,1,[11  8  4  2  0  0  0  0  0],"[array([4, 2, 1, 0, 0, 0, 0, 0, 0]), array([5, 3, 2, 0, 0, 0, 0, 0, 0]), array([7, 4, 2, 0, 0, 0, 0, 0, 0]), array([5, 5, 2, 1, 0, 0, 0, 0, 0]), array([8, 5, 3, 0, 0, 0, 0, 0, 0]), array([10,  5,  3,  0,  0,  0,  0,  0,  0]), array([5, 5, 3, 1, 0, 0, 0, 0, 0]), array([8, 6, 3, 1, 0, 0, 0, 0, 0]), array([10,  7,  2,  1,  0,  0,  0,  0,  0]), array([10,  6,  3,  2,  0,  0,  0,  0,  0]), array([8, 7, 4, 2, 0, 0, 0, 0, 0]), array([11,  8,  4,  2,  0,  0,  0,  0,  0])]"
96.9796653037791,2,[17 12  1  1  0  1  1  0  0],"[array([0, 1, 0, 0, 0, 0, 1, 0, 0]), array([2, 1, 0, 0, 0, 0, 1, 0, 0]), array([2, 4, 0, 0, 0, 0, 0, 0, 0]), array([3, 4, 0, 0, 0, 0, 0, 0, 0]), array([1, 3, 0, 1, 0, 0, 0, 0, 0]), array([5, 4, 0, 0, 0, 0, 0, 0, 0]), array([6, 4, 0, 0, 0, 0, 0, 0, 0]), array([3, 3, 0, 1, 0, 0, 0, 0, 0]), array([7, 4, 0, 0, 0, 0, 0, 0, 0]), array([1, 5, 0, 0, 0, 0, 0, 0, 0]), array([2, 5, 0, 0, 0, 0, 0, 0, 0]), array([3, 5, 0, 0, 0, 0, 0, 0, 0]), array([7, 2, 0, 0, 0, 1, 0, 0, 0]), array([7, 2, 0, 0, 0, 1, 0, 0, 0]), array([4, 5, 0, 0, 0, 0, 0, 0, 0]), array([5, 5, 0, 0, 0, 0, 0, 0, 0]), array([6, 5, 0, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 0, 0, 0, 0, 0, 0]), array([2, 3, 0, 0, 0, 0, 1, 0, 0]), array([6, 0, 0, 0, 0, 1, 1, 0, 0]), array([6, 0, 0, 0, 0, 1, 1, 0, 0]), array([4, 3, 0, 0, 0, 0, 1, 0, 0]), array([3, 6, 0, 0, 0, 0, 0, 0, 0]), array([3, 5, 0, 1, 0, 0, 0, 0, 0]), array([7, 6, 0, 0, 0, 0, 0, 0, 0]), array([9, 6, 0, 0, 0, 0, 0, 0, 0]), array([2, 4, 0, 0, 0, 0, 1, 0, 0]), array([4, 7, 0, 0, 0, 0, 0, 0, 0]), array([5, 7, 0, 0, 0, 0, 0, 0, 0]), array([9, 4, 0, 0, 0, 1, 0, 0, 0]), array([6, 7, 0, 0, 0, 0, 0, 0, 0]), array([10,  4,  0,  0,  0,  1,  0,  0,  0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([7, 6, 0, 1, 0, 0, 0, 0, 0]), array([2, 5, 0, 0, 0, 0, 1, 0, 0]), array([4, 5, 0, 0, 0, 0, 1, 0, 0]), array([8, 2, 0, 0, 0, 1, 1, 0, 0]), array([6, 7, 0, 0, 0, 0, 1, 0, 0]), array([3, 9, 1, 0, 0, 0, 0, 0, 0]), array([7, 6, 1, 0, 0, 1, 0, 0, 0])]"
59.22229285028999,3,[12 10  3  3  0  1  0  0  0],"[array([5, 2, 0, 1, 0, 0, 0, 0, 0]), array([5, 4, 0, 0, 0, 0, 0, 0, 0]), array([3, 3, 0, 1, 0, 0, 0, 0, 0]), array([7, 4, 0, 0, 0, 0, 0, 0, 0]), array([5, 3, 0, 1, 0, 0, 0, 0, 0]), array([9, 4, 0, 0, 0, 0, 0, 0, 0]), array([8, 3, 1, 0, 0, 0, 0, 0, 0]), array([5, 5, 0, 0, 0, 0, 0, 0, 0]), array([6, 0, 2, 2, 0, 0, 0, 0, 0]), array([9, 1, 1, 0, 0, 1, 0, 0, 0]), array([9, 5, 0, 0, 0, 0, 0, 0, 0]), array([8, 4, 1, 0, 0, 0, 0, 0, 0]), array([6, 3, 1, 1, 0, 0, 0, 0, 0]), array([6, 5, 1, 0, 0, 0, 0, 0, 0]), array([7, 0, 3, 2, 0, 0, 0, 0, 0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([8, 3, 0, 3, 0, 0, 0, 0, 0]), array([6, 6, 1, 0, 0, 0, 0, 0, 0]), array([7, 1, 3, 2, 0, 0, 0, 0, 0]), array([7, 6, 1, 0, 0, 0, 0, 0, 0]), array([10,  2,  2,  0,  0,  1,  0,  0,  0]), array([8, 1, 3, 2, 0, 0, 0, 0, 0]), array([7, 4, 2, 1, 0, 0, 0, 0, 0]), array([7, 6, 2, 0, 0, 0, 0, 0, 0]), array([6, 6, 1, 1, 0, 0, 0, 0, 0]), array([7, 1, 3, 3, 0, 0, 0, 0, 0]), array([6, 5, 2, 1, 0, 0, 0, 0, 0]), array([8, 6, 1, 1, 0, 0, 0, 0, 0]), array([9, 6, 0, 2, 0, 0, 0, 0, 0]), array([6, 6, 1, 2, 0, 0, 0, 0, 0]), array([7, 7, 3, 0, 0, 0, 0, 0, 0]), array([8, 8, 3, 0, 0, 0, 0, 0, 0])]"
99.22931895610758,4,[10  8  1  2  0  0  0  0  0],"[array([5, 3, 0, 0, 0, 0, 0, 0, 0]), array([4, 2, 1, 0, 0, 0, 0, 0, 0]), array([3, 2, 0, 1, 0, 0, 0, 0, 0]), array([2, 1, 1, 1, 0, 0, 0, 0, 0]), array([5, 2, 0, 1, 0, 0, 0, 0, 0]), array([3, 4, 0, 0, 0, 0, 0, 0, 0]), array([5, 4, 0, 0, 0, 0, 0, 0, 0]), array([3, 3, 0, 1, 0, 0, 0, 0, 0]), array([7, 4, 0, 0, 0, 0, 0, 0, 0]), array([6, 3, 1, 0, 0, 0, 0, 0, 0]), array([7, 3, 0, 1, 0, 0, 0, 0, 0]), array([3, 5, 0, 0, 0, 0, 0, 0, 0]), array([5, 5, 0, 0, 0, 0, 0, 0, 0]), array([6, 5, 0, 0, 0, 0, 0, 0, 0]), array([5, 4, 1, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 0, 0, 0, 0, 0, 0]), array([7, 6, 0, 0, 0, 0, 0, 0, 0]), array([6, 5, 1, 0, 0, 0, 0, 0, 0]), array([7, 5, 1, 0, 0, 0, 0, 0, 0]), array([8, 5, 1, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 1, 0, 0, 0, 0, 0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([6, 6, 1, 0, 0, 0, 0, 0, 0]), array([5, 6, 0, 1, 0, 0, 0, 0, 0]), array([7, 6, 1, 0, 0, 0, 0, 0, 0]), array([6, 6, 0, 1, 0, 0, 0, 0, 0]), array([7, 6, 0, 1, 0, 0, 0, 0, 0]), array([10,  5,  1,  1,  0,  0,  0,  0,  0]), array([6, 6, 1, 1, 0, 0, 0, 0, 0]), array([7, 6, 1, 1, 0, 0, 0, 0, 0]), array([8, 6, 1, 1, 0, 0, 0, 0, 0]), array([7, 6, 0, 2, 0, 0, 0, 0, 0])]"
69.54489818626905,5,[15  8  5  0  0  0  1  0  0],"[array([3, 1, 2, 0, 0, 0, 0, 0, 0]), array([8, 0, 0, 0, 0, 0, 1, 0, 0]), array([8, 0, 0, 0, 0, 0, 1, 0, 0]), array([7, 3, 0, 0, 0, 0, 0, 0, 0]), array([6, 2, 1, 0, 0, 0, 0, 0, 0]), array([8, 2, 1, 0, 0, 0, 0, 0, 0]), array([3, 4, 0, 0, 0, 0, 0, 0, 0]), array([1, 2, 2, 0, 0, 0, 0, 0, 0]), array([5, 4, 0, 0, 0, 0, 0, 0, 0]), array([6, 0, 1, 0, 0, 0, 1, 0, 0]), array([7, 4, 0, 0, 0, 0, 0, 0, 0]), array([8, 0, 1, 0, 0, 0, 1, 0, 0]), array([9, 4, 0, 0, 0, 0, 0, 0, 0]), array([8, 3, 1, 0, 0, 0, 0, 0, 0]), array([10,  0,  1,  0,  0,  0,  1,  0,  0]), array([1, 1, 1, 0, 0, 0, 1, 0, 0]), array([5, 5, 0, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 0, 0, 0, 0, 0, 0]), array([2, 2, 3, 0, 0, 0, 0, 0, 0]), array([7, 1, 1, 0, 0, 0, 1, 0, 0]), array([8, 1, 1, 0, 0, 0, 1, 0, 0]), array([9, 5, 0, 0, 0, 0, 0, 0, 0]), array([8, 4, 1, 0, 0, 0, 0, 0, 0]), array([10,  1,  1,  0,  0,  0,  1,  0,  0]), array([7, 3, 2, 0, 0, 0, 0, 0, 0]), array([12,  2,  0,  0,  0,  0,  1,  0,  0]), array([11,  5,  0,  0,  0,  0,  0,  0,  0]), array([9, 0, 2, 0, 0, 0, 1, 0, 0]), array([10,  4,  1,  0,  0,  0,  0,  0,  0]), array([12,  1,  1,  0,  0,  0,  1,  0,  0]), array([5, 6, 0, 0, 0, 0, 0, 0, 0]), array([4, 1, 2, 0, 0, 0, 1, 0, 0]), array([7, 6, 0, 0, 0, 0, 0, 0, 0]), array([9, 6, 0, 0, 0, 0, 0, 0, 0]), array([10,  2,  1,  0,  0,  0,  1,  0,  0]), array([11,  6,  0,  0,  0,  0,  0,  0,  0]), array([11,  1,  2,  0,  0,  0,  1,  0,  0]), array([12,  5,  1,  0,  0,  0,  0,  0,  0]), array([5, 3, 1, 0, 0, 0, 1, 0, 0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([9, 7, 0, 0, 0, 0, 0, 0, 0]), array([10,  3,  1,  0,  0,  0,  1,  0,  0]), array([11,  7,  0,  0,  0,  0,  0,  0,  0]), array([6, 4, 3, 0, 0, 0, 0, 0, 0]), array([12,  3,  1,  0,  0,  0,  1,  0,  0]), array([3, 2, 3, 0, 0, 0, 1, 0, 0]), array([5, 6, 2, 0, 0, 0, 0, 0, 0]), array([9, 8, 0, 0, 0, 0, 0, 0, 0]), array([8, 3, 2, 0, 0, 0, 1, 0, 0]), array([5, 5, 3, 0, 0, 0, 0, 0, 0]), array([11,  8,  0,  0,  0,  0,  0,  0,  0]), array([12,  4,  1,  0,  0,  0,  1,  0,  0]), array([4, 3, 5, 0, 0, 0, 0, 0, 0]), array([14,  4,  1,  0,  0,  0,  1,  0,  0]), array([7, 4, 3, 0, 0, 0, 1, 0, 0]), array([8, 5, 5, 0, 0, 0, 0, 0, 0]), array([5, 3, 5, 0, 0, 0, 1, 0, 0]), array([9, 5, 5, 0, 0, 0, 1, 0, 0])]"
59.44879081159491,7,[21 12  4  2  0  0  0  0  0],"[array([6, 2, 1, 0, 0, 0, 0, 0, 0]), array([8, 2, 1, 0, 0, 0, 0, 0, 0]), array([5, 4, 0, 0, 0, 0, 0, 0, 0]), array([3, 2, 2, 0, 0, 0, 0, 0, 0]), array([7, 4, 0, 0, 0, 0, 0, 0, 0]), array([2, 2, 1, 1, 0, 0, 0, 0, 0]), array([4, 2, 2, 0, 0, 0, 0, 0, 0]), array([6, 3, 1, 0, 0, 0, 0, 0, 0]), array([5, 2, 2, 0, 0, 0, 0, 0, 0]), array([4, 2, 1, 1, 0, 0, 0, 0, 0]), array([8, 3, 1, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 0, 0, 0, 0, 0, 0]), array([1, 2, 2, 1, 0, 0, 0, 0, 0]), array([5, 3, 2, 0, 0, 0, 0, 0, 0]), array([0, 2, 1, 2, 0, 0, 0, 0, 0]), array([6, 3, 2, 0, 0, 0, 0, 0, 0]), array([3, 2, 2, 1, 0, 0, 0, 0, 0]), array([7, 3, 2, 0, 0, 0, 0, 0, 0]), array([11,  0,  2,  2,  0,  0,  0,  0,  0]), array([11,  5,  0,  0,  0,  0,  0,  0,  0]), array([6, 3, 1, 1, 0, 0, 0, 0, 0]), array([7, 6, 0, 0, 0, 0, 0, 0, 0]), array([9, 6, 0, 0, 0, 0, 0, 0, 0]), array([3, 3, 2, 1, 0, 0, 0, 0, 0]), array([11,  6,  0,  0,  0,  0,  0,  0,  0]), array([9, 4, 2, 0, 0, 0, 0, 0, 0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([6, 4, 3, 0, 0, 0, 0, 0, 0]), array([5, 3, 2, 2, 0, 0, 0, 0, 0]), array([9, 8, 0, 0, 0, 0, 0, 0, 0]), array([11,  8,  0,  0,  0,  0,  0,  0,  0]), array([8, 4, 3, 1, 0, 0, 0, 0, 0]), array([7, 4, 2, 2, 0, 0, 0, 0, 0]), array([11,  9,  0,  0,  0,  0,  0,  0,  0]), array([4, 4, 3, 2, 0, 0, 0, 0, 0]), array([ 8, 10,  0,  0,  0,  0,  0,  0,  0]), array([10,  5,  3,  1,  0,  0,  0,  0,  0]), array([7, 5, 4, 1, 0, 0, 0, 0, 0]), array([11,  6,  4,  2,  0,  0,  0,  0,  0])]"
33.07643965203586,4,[10  8  1  2  0  0  0  0  0],"[array([3, 2, 0, 1, 0, 0, 0, 0, 0]), array([3, 2, 0, 1, 0, 0, 0, 0, 0]), array([5, 2, 0, 1, 0, 0, 0, 0, 0]), array([7, 3, 0, 1, 0, 0, 0, 0, 0]), array([9, 4, 0, 1, 0, 0, 0, 0, 0]), array([7, 7, 0, 1, 0, 0, 0, 0, 0]), array([8, 6, 1, 1, 0, 0, 0, 0, 0]), array([10,  7,  1,  1,  0,  0,  0,  0,  0]), array([8, 8, 1, 1, 0, 0, 0, 0, 0]), array([10,  8,  1,  2,  0,  0,  0,  0,  0])]"
134.03850351755332,8,[14  9  2  2  0  0  0  1  0],"[array([2, 4, 0, 0, 0, 0, 0, 0, 0]), array([3, 4, 0, 0, 0, 0, 0, 0, 0]), array([2, 3, 1, 0, 0, 0, 0, 0, 0]), array([4, 3, 1, 0, 0, 0, 0, 0, 0]), array([3, 3, 0, 1, 0, 0, 0, 0, 0]), array([5, 3, 1, 0, 0, 0, 0, 0, 0]), array([4, 4, 1, 0, 0, 0, 0, 0, 0]), array([3, 4, 0, 1, 0, 0, 0, 0, 0]), array([2, 3, 1, 1, 0, 0, 0, 0, 0]), array([1, 2, 2, 1, 0, 0, 0, 0, 0]), array([0, 2, 1, 2, 0, 0, 0, 0, 0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([2, 1, 0, 0, 0, 0, 0, 1, 0]), array([7, 6, 0, 1, 0, 0, 0, 0, 0]), array([2, 2, 0, 0, 0, 0, 0, 1, 0]), array([1, 1, 1, 0, 0, 0, 0, 1, 0]), array([0, 1, 0, 1, 0, 0, 0, 1, 0]), array([7, 9, 0, 0, 0, 0, 0, 0, 0])]"
58.18779918226746,2,[17 12  1  1  0  1  1  0  0],"[array([5, 2, 0, 1, 0, 0, 0, 0, 0]), array([8, 2, 1, 0, 0, 0, 0, 0, 0]), array([3, 3, 0, 1, 0, 0, 0, 0, 0]), array([7, 4, 0, 0, 0, 0, 0, 0, 0]), array([9, 4, 0, 0, 0, 0, 0, 0, 0]), array([8, 3, 1, 0, 0, 0, 0, 0, 0]), array([3, 5, 0, 0, 0, 0, 0, 0, 0]), array([5, 5, 0, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 0, 0, 0, 0, 0, 0]), array([9, 5, 0, 0, 0, 0, 0, 0, 0]), array([8, 4, 1, 0, 0, 0, 0, 0, 0]), array([11,  5,  0,  0,  0,  0,  0,  0,  0]), array([6, 3, 1, 1, 0, 0, 0, 0, 0]), array([10,  4,  1,  0,  0,  0,  0,  0,  0]), array([2, 3, 0, 0, 0, 0, 1, 0, 0]), array([4, 3, 0, 0, 0, 0, 1, 0, 0]), array([7, 6, 0, 0, 0, 0, 0, 0, 0]), array([9, 6, 0, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 1, 0, 0, 0, 0, 0]), array([11,  6,  0,  0,  0,  0,  0,  0,  0]), array([8, 4, 1, 1, 0, 0, 0, 0, 0]), array([12,  5,  1,  0,  0,  0,  0,  0,  0]), array([5, 7, 0, 0, 0, 0, 0, 0, 0]), array([9, 4, 0, 0, 0, 1, 0, 0, 0]), array([6, 7, 0, 0, 0, 0, 0, 0, 0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([9, 7, 0, 0, 0, 0, 0, 0, 0]), array([7, 6, 0, 1, 0, 0, 0, 0, 0]), array([11,  7,  0,  0,  0,  0,  0,  0,  0]), array([10,  6,  1,  0,  0,  0,  0,  0,  0]), array([9, 6, 0, 1, 0, 0, 0, 0, 0]), array([13,  7,  0,  0,  0,  0,  0,  0,  0]), array([4, 5, 0, 0, 0, 0, 1, 0, 0]), array([10,  5,  1,  1,  0,  0,  0,  0,  0]), array([9, 8, 0, 0, 0, 0, 0, 0, 0]), array([11,  8,  0,  0,  0,  0,  0,  0,  0]), array([9, 7, 0, 1, 0, 0, 0, 0, 0]), array([13,  8,  0,  0,  0,  0,  0,  0,  0]), array([11,  7,  0,  1,  0,  0,  0,  0,  0]), array([11,  9,  0,  0,  0,  0,  0,  0,  0]), array([13,  9,  0,  0,  0,  0,  0,  0,  0]), array([6, 7, 0, 0, 0, 0, 1, 0, 0]), array([3, 9, 1, 0, 0, 0, 0, 0, 0]), array([7, 6, 1, 0, 0, 1, 0, 0, 0]), array([11, 10,  0,  0,  0,  0,  0,  0,  0])]"
43.53220294713013,9,[17  9  5  0  0  0  1  0  0],"[array([3, 1, 2, 0, 0, 0, 0, 0, 0]), array([7, 3, 0, 0, 0, 0, 0, 0, 0]), array([6, 2, 1, 0, 0, 0, 0, 0, 0]), array([6, 0, 1, 0, 0, 0, 1, 0, 0]), array([7, 4, 0, 0, 0, 0, 0, 0, 0]), array([9, 4, 0, 0, 0, 0, 0, 0, 0]), array([8, 3, 1, 0, 0, 0, 0, 0, 0]), array([1, 1, 1, 0, 0, 0, 1, 0, 0]), array([6, 0, 4, 0, 0, 0, 0, 0, 0]), array([7, 5, 0, 0, 0, 0, 0, 0, 0]), array([2, 2, 3, 0, 0, 0, 0, 0, 0]), array([7, 1, 1, 0, 0, 0, 1, 0, 0]), array([9, 5, 0, 0, 0, 0, 0, 0, 0]), array([11,  5,  0,  0,  0,  0,  0,  0,  0]), array([4, 1, 2, 0, 0, 0, 1, 0, 0]), array([7, 6, 0, 0, 0, 0, 0, 0, 0]), array([9, 6, 0, 0, 0, 0, 0, 0, 0]), array([11,  6,  0,  0,  0,  0,  0,  0,  0]), array([5, 2, 4, 0, 0, 0, 0, 0, 0]), array([12,  2,  1,  0,  0,  0,  1,  0,  0]), array([9, 4, 2, 0, 0, 0, 0, 0, 0]), array([13,  6,  0,  0,  0,  0,  0,  0,  0]), array([7, 7, 0, 0, 0, 0, 0, 0, 0]), array([9, 7, 0, 0, 0, 0, 0, 0, 0]), array([11,  7,  0,  0,  0,  0,  0,  0,  0]), array([12,  3,  1,  0,  0,  0,  1,  0,  0]), array([13,  7,  0,  0,  0,  0,  0,  0,  0]), array([3, 2, 3, 0, 0, 0, 1, 0, 0]), array([11,  8,  0,  0,  0,  0,  0,  0,  0]), array([13,  8,  0,  0,  0,  0,  0,  0,  0]), array([4, 3, 5, 0, 0, 0, 0, 0, 0]), array([8, 5, 3, 0, 0, 0, 0, 0, 0]), array([11,  9,  0,  0,  0,  0,  0,  0,  0]), array([10,  4,  2,  0,  0,  0,  1,  0,  0]), array([13,  9,  0,  0,  0,  0,  0,  0,  0]), array([5, 3, 5, 0, 0, 0, 1, 0, 0]), array([9, 5, 3, 0, 0, 0, 1, 0, 0]), array([15,  8,  0,  0,  0,  0,  1,  0,  0]), array([10,  6,  5,  0,  0,  0,  0,  0,  0]), array([14,  8,  3,  0,  0,  0,  0,  0,  0]), array([11,  6,  5,  0,  0,  0,  1,  0,  0]), array([17,  9,  5,  0,  0,  0,  1,  0,  0])]"
